Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls_90;Ast_90;G+A_90;G-PK_90;G+A-PK_90;Matches
300;Pol Lirola;es ESP;MF;Hellas Verona;28-283;1997;6;3;305;3.4;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
301;Joseph Liteta;zm ZAM;MF;Cagliari;20-090;2006;4;4;264;2.9;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
302;Stanislav Lobotka;sk SVK;MF;Napoli;31-179;1994;31;28;2,395;26.6;1;1;2;1;0;0;3;0;0.04;0.04;0.08;0.04;0.08;Matches
303;Manuel Locatelli;it ITA;MF;Juventus;28-135;1998;35;35;2,904;32.3;1;2;3;1;0;1;9;0;0.03;0.06;0.09;0.03;0.09;Matches
304;Ruben Loftus-Cheek;eng ENG;MF,FW;Milan;30-120;1996;28;12;1,133;12.6;3;1;4;3;0;0;2;0;0.24;0.08;0.32;0.24;0.32;Matches
305;Ademola Lookman;ng NGA;FW,MF;Atalanta;28-215;1997;12;9;795;8.8;2;0;2;2;0;0;0;0;0.23;0.00;0.23;0.23;0.23;Matches
306;Dachi Lordkipanidze;ge GEO;MF;Cremonese;21-076;2005;1;0;29;0.3;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
307;Lorran;br BRA;FW;Pisa;19-323;2006;9;0;122;1.4;1;0;1;1;0;0;0;0;0.74;0.00;0.74;0.74;0.74;Matches
308;Sandi Lovrić;si SVN;MF;Udinese;28-056;1998;6;1;161;1.8;0;1;1;0;0;0;1;0;0.00;0.56;0.56;0.00;0.56;Matches
309;Sandi Lovrić;si SVN;MF;Hellas Verona;28-056;1998;6;2;252;2.8;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
310;Felipe Loyola;cl CHI;MF;Pisa;25-195;2000;10;6;508;5.6;1;0;1;1;0;0;0;1;0.18;0.00;0.18;0.18;0.18;Matches
311;Lorenzo Lucca;it ITA;FW;Napoli;25-255;2000;16;4;408;4.5;1;0;1;1;0;0;1;0;0.22;0.00;0.22;0.22;0.22;Matches
312;Jhon Lucumí;co COL;DF;Bologna;27-331;1998;28;25;2,197;24.4;1;0;1;1;0;0;5;0;0.04;0.00;0.04;0.04;0.04;Matches
313;Romelu Lukaku;be BEL;FW;Napoli;33-010;1993;5;0;44;0.5;1;0;1;1;0;0;1;0;2.05;0.00;2.05;2.05;2.05;Matches
314;Sebastiano Luperto;it ITA;DF;Cremonese;29-259;1996;14;14;1,217;13.5;0;1;1;0;0;0;1;0;0.00;0.07;0.07;0.00;0.07;Matches
315;Sebastiano Luperto;it ITA;DF;Cagliari;29-259;1996;19;19;1,706;19.0;1;0;1;1;0;0;3;0;0.05;0.00;0.05;0.05;0.05;Matches
316;Mateus Lusuardi;br BRA;DF;Pisa;22-135;2004;3;3;198;2.2;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
317;Zito Luvumbo;ao ANG;MF,FW;Cagliari;24-075;2002;12;2;329;3.7;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
318;Babis Lykogiannis;gr GRE;DF;Bologna;32-213;1993;10;7;627;7.0;0;1;1;0;0;0;3;0;0.00;0.14;0.14;0.00;0.14;Matches
319;Mathias Løvik;no NOR;MF;Parma;22-168;2003;9;5;471;5.2;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
320;Mike Maignan;fr FRA;GK;Milan;30-324;1995;36;36;3,205;35.6;0;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
321;Daniel Maldini;it ITA;FW;Lazio;24-224;2001;11;9;667;7.4;2;1;3;2;0;0;0;0;0.27;0.13;0.40;0.27;0.40;Matches
322;Daniel Maldini;it ITA;MF;Atalanta;24-224;2001;9;3;264;2.9;0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
323;Youssef Maleh;ma MAR;MF;Cremonese;27-274;1998;13;13;1,085;12.1;1;0;1;1;0;0;2;1;0.08;0.00;0.08;0.08;0.08;Matches
324;Youssef Maleh;ma MAR;MF;Lecce;27-274;1998;9;5;460;5.1;0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
325;Donyell Malen;nl NED;FW;Roma;27-134;1999;17;17;1,384;15.4;13;2;15;10;3;3;1;0;0.85;0.13;0.98;0.65;0.78;Matches
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;Matches
326;Ruslan Malinovskyi;ua UKR;MF;Genoa;33-019;1993;34;28;2,235;24.8;6;3;9;3;3;3;10;0;0.24;0.12;0.36;0.12;0.24;Matches
